timestamp_iso,epoch,label,pid,cpu_percent,rss_mb
2026-07-07 17:36:04,1783442164.345,roscore,28825,0.0,4.1
2026-07-07 17:36:04,1783442164.345,roscore,28929,0.0,43.1
2026-07-07 17:36:04,1783442164.345,rs_t265,28977,1.9,43.8
2026-07-07 17:36:04,1783442164.345,rs_t265,28991,5.8,79.1
2026-07-07 17:36:04,1783442164.345,rs_t265,28992,0.0,14.4
2026-07-07 17:36:04,1783442164.345,cam_capture_node,29043,1.9,85.9
2026-07-07 17:36:04,1783442164.859,roscore,28825,0.0,4.1
2026-07-07 17:36:04,1783442164.859,roscore,28929,0.0,43.1
2026-07-07 17:36:04,1783442164.859,rs_t265,28977,0.0,43.8
2026-07-07 17:36:04,1783442164.859,rs_t265,28991,7.8,79.1
2026-07-07 17:36:04,1783442164.859,rs_t265,28992,0.0,14.4
2026-07-07 17:36:04,1783442164.859,cam_capture_node,29043,1.9,85.9
2026-07-07 17:36:05,1783442165.372,roscore,28825,0.0,4.1
2026-07-07 17:36:05,1783442165.372,roscore,28929,0.0,43.1
2026-07-07 17:36:05,1783442165.372,rs_t265,28977,0.0,43.8
2026-07-07 17:36:05,1783442165.372,rs_t265,28991,7.6,79.1
2026-07-07 17:36:05,1783442165.372,rs_t265,28992,1.9,14.4
2026-07-07 17:36:05,1783442165.372,cam_capture_node,29043,1.9,85.9
2026-07-07 17:36:05,1783442165.898,roscore,28825,0.0,4.1
2026-07-07 17:36:05,1783442165.898,roscore,28929,0.0,43.1
2026-07-07 17:36:05,1783442165.898,rs_t265,28977,0.0,43.8
2026-07-07 17:36:05,1783442165.898,rs_t265,28991,5.7,79.1
2026-07-07 17:36:05,1783442165.898,rs_t265,28992,0.0,14.4
2026-07-07 17:36:05,1783442165.898,cam_capture_node,29043,1.9,85.9
2026-07-07 17:36:06,1783442166.423,roscore,28825,0.0,4.1
2026-07-07 17:36:06,1783442166.423,roscore,28929,0.0,43.1
2026-07-07 17:36:06,1783442166.423,rs_t265,28977,0.0,43.8
2026-07-07 17:36:06,1783442166.423,rs_t265,28991,5.7,79.1
2026-07-07 17:36:06,1783442166.423,rs_t265,28992,0.0,14.4
2026-07-07 17:36:06,1783442166.423,cam_capture_node,29043,1.9,85.9
2026-07-07 17:36:06,1783442166.949,roscore,28825,0.0,4.1
2026-07-07 17:36:06,1783442166.949,roscore,28929,0.0,43.1
2026-07-07 17:36:06,1783442166.949,rs_t265,28977,0.0,43.8
2026-07-07 17:36:06,1783442166.949,rs_t265,28991,9.5,79.1
2026-07-07 17:36:06,1783442166.949,rs_t265,28992,1.9,14.4
2026-07-07 17:36:06,1783442166.949,cam_capture_node,29043,1.9,85.9
2026-07-07 17:36:07,1783442167.473,roscore,28825,0.0,4.1
2026-07-07 17:36:07,1783442167.473,roscore,28929,1.9,43.1
2026-07-07 17:36:07,1783442167.473,rs_t265,28977,0.0,43.8
2026-07-07 17:36:07,1783442167.473,rs_t265,28991,5.7,79.1
2026-07-07 17:36:07,1783442167.473,rs_t265,28992,0.0,14.4
2026-07-07 17:36:07,1783442167.473,cam_capture_node,29043,1.9,85.9
2026-07-07 17:36:07,1783442167.999,roscore,28825,0.0,4.1
2026-07-07 17:36:07,1783442167.999,roscore,28929,0.0,43.1
2026-07-07 17:36:07,1783442167.999,rs_t265,28977,0.0,43.8
2026-07-07 17:36:07,1783442167.999,rs_t265,28991,7.5,79.1
2026-07-07 17:36:07,1783442167.999,rs_t265,28992,0.0,14.4
2026-07-07 17:36:07,1783442167.999,cam_capture_node,29043,1.9,85.9
2026-07-07 17:36:08,1783442168.532,roscore,28825,0.0,4.1
2026-07-07 17:36:08,1783442168.532,roscore,28929,0.0,43.1
2026-07-07 17:36:08,1783442168.532,rs_t265,28977,0.0,43.8
2026-07-07 17:36:08,1783442168.532,rs_t265,28991,5.9,79.1
2026-07-07 17:36:08,1783442168.532,rs_t265,28992,0.0,14.4
2026-07-07 17:36:08,1783442168.532,cam_capture_node,29043,2.0,85.9
2026-07-07 17:36:09,1783442169.041,roscore,28825,0.0,4.1
2026-07-07 17:36:09,1783442169.041,roscore,28929,0.0,43.1
2026-07-07 17:36:09,1783442169.041,rs_t265,28977,0.0,43.8
2026-07-07 17:36:09,1783442169.041,rs_t265,28991,5.9,79.1
2026-07-07 17:36:09,1783442169.041,rs_t265,28992,0.0,14.4
2026-07-07 17:36:09,1783442169.041,cam_capture_node,29043,0.0,85.9
2026-07-07 17:36:09,1783442169.549,roscore,28825,0.0,4.1
2026-07-07 17:36:09,1783442169.549,roscore,28929,0.0,43.1
2026-07-07 17:36:09,1783442169.549,rs_t265,28977,1.9,43.8
2026-07-07 17:36:09,1783442169.549,rs_t265,28991,3.8,79.1
2026-07-07 17:36:09,1783442169.549,rs_t265,28992,0.0,14.4
2026-07-07 17:36:09,1783442169.549,cam_capture_node,29043,1.9,85.9
2026-07-07 17:36:10,1783442170.074,roscore,28825,0.0,4.1
2026-07-07 17:36:10,1783442170.074,roscore,28929,0.0,43.1
2026-07-07 17:36:10,1783442170.074,rs_t265,28977,0.0,43.8
2026-07-07 17:36:10,1783442170.074,rs_t265,28991,3.8,79.1
2026-07-07 17:36:10,1783442170.074,rs_t265,28992,0.0,14.4
2026-07-07 17:36:10,1783442170.074,cam_capture_node,29043,1.9,85.9
2026-07-07 17:36:10,1783442170.599,roscore,28825,0.0,4.1
2026-07-07 17:36:10,1783442170.599,roscore,28929,0.0,43.1
2026-07-07 17:36:10,1783442170.599,rs_t265,28977,0.0,43.8
2026-07-07 17:36:10,1783442170.599,rs_t265,28991,5.8,79.1
2026-07-07 17:36:10,1783442170.599,rs_t265,28992,0.0,14.4
2026-07-07 17:36:10,1783442170.599,cam_capture_node,29043,1.9,85.9
2026-07-07 17:36:11,1783442171.114,roscore,28825,0.0,4.1
2026-07-07 17:36:11,1783442171.114,roscore,28929,1.9,43.1
2026-07-07 17:36:11,1783442171.114,rs_t265,28977,0.0,43.8
2026-07-07 17:36:11,1783442171.114,rs_t265,28991,9.5,79.1
2026-07-07 17:36:11,1783442171.114,rs_t265,28992,1.9,14.4
2026-07-07 17:36:11,1783442171.114,cam_capture_node,29043,0.0,85.9
2026-07-07 17:36:11,1783442171.639,roscore,28825,0.0,4.1
2026-07-07 17:36:11,1783442171.639,roscore,28929,0.0,43.1
2026-07-07 17:36:11,1783442171.639,rs_t265,28977,0.0,43.8
2026-07-07 17:36:11,1783442171.639,rs_t265,28991,3.8,79.1
2026-07-07 17:36:11,1783442171.639,rs_t265,28992,0.0,14.4
2026-07-07 17:36:11,1783442171.639,cam_capture_node,29043,1.9,85.9
2026-07-07 17:36:12,1783442172.165,roscore,28825,0.0,4.1
2026-07-07 17:36:12,1783442172.165,roscore,28929,2.0,43.1
2026-07-07 17:36:12,1783442172.165,rs_t265,28977,0.0,43.8
2026-07-07 17:36:12,1783442172.165,rs_t265,28991,7.9,79.1
2026-07-07 17:36:12,1783442172.165,rs_t265,28992,0.0,14.4
2026-07-07 17:36:12,1783442172.165,cam_capture_node,29043,0.0,85.9
2026-07-07 17:36:12,1783442172.674,roscore,28825,0.0,4.1
2026-07-07 17:36:12,1783442172.674,roscore,28929,0.0,43.1
2026-07-07 17:36:12,1783442172.674,rs_t265,28977,0.0,43.8
2026-07-07 17:36:12,1783442172.674,rs_t265,28991,2.0,79.1
2026-07-07 17:36:12,1783442172.674,rs_t265,28992,0.0,14.4
2026-07-07 17:36:12,1783442172.674,cam_capture_node,29043,2.0,85.9
2026-07-07 17:36:13,1783442173.183,roscore,28825,0.0,4.1
2026-07-07 17:36:13,1783442173.183,roscore,28929,0.0,43.1
2026-07-07 17:36:13,1783442173.183,rs_t265,28977,0.0,43.8
